# Drag coefficient over an impulsively started cylinder at Re=550
# Koumoutsakos and Leonard (1995)
# High-resoluation simulations of the flow 
# around an impulsively started cylinder using vortex methods
# U*t/R	Cd
0.04675	1.85679
0.06966	1.62464
0.09292	1.43892
0.11647	1.29188
0.14031	1.18352
0.18055	1.07127
0.22090	0.97449
0.27781	0.89316
0.34298	0.81955
0.44930	0.75361
0.61327	0.70691
0.79399	0.70274
1.06549	0.75258
1.30433	0.82956
1.55155	0.92973
1.79054	1.02604
2.01306	1.11852
2.21895	1.18394
2.44943	1.24159
2.69616	1.27599
2.89343	1.28727
3.09883	1.28693
3.31232	1.27110
3.60789	1.24353
3.95273	1.21201
4.33858	1.17269
4.80663	1.13710
5.30756	1.10532
5.84133	1.06962
6.20271	1.05354
6.56410	1.03747
6.98299	1.02130
