# u-velocity along vertical centerline
# Re=100, mesh: 32x32
# [y]	[u]
0.015625	-0.011838
0.046875	-0.032639
0.078125	-0.051376
0.109375	-0.068738
0.140625	-0.085247
0.171875	-0.101278
0.203125	-0.117066
0.234375	-0.132695
0.265625	-0.148086
0.296875	-0.162991
0.328125	-0.176984
0.359375	-0.189466
0.390625	-0.199696
0.421875	-0.206833
0.453125	-0.210010
0.484375	-0.208421
0.515625	-0.201414
0.546875	-0.188575
0.578125	-0.169784
0.609375	-0.145220
0.640625	-0.115308
0.671875	-0.080592
0.703125	-0.041527
0.734375	0.001816
0.765625	0.050169
0.796875	0.105598
0.828125	0.172098
0.859375	0.255985
0.890625	0.365494
0.921875	0.508692
0.953125	0.688811
0.984375	0.897119
