# v-velocity along horizontal centerline
# Re=100, mesh: 32x32
# [x]	[v]
0.015625	0.028587
0.046875	0.074655
0.078125	0.110195
0.109375	0.136559
0.140625	0.155161
0.171875	0.167319
0.203125	0.174156
0.234375	0.176544
0.265625	0.175099
0.296875	0.170203
0.328125	0.162044
0.359375	0.150670
0.390625	0.136030
0.421875	0.118028
0.453125	0.096559
0.484375	0.071554
0.515625	0.043022
0.546875	0.011103
0.578125	-0.023875
0.609375	-0.061316
0.640625	-0.100271
0.671875	-0.139340
0.703125	-0.176579
0.734375	-0.209451
0.765625	-0.234876
0.796875	-0.249446
0.828125	-0.249907
0.859375	-0.233904
0.890625	-0.200885
0.921875	-0.152792
0.953125	-0.094075
0.984375	-0.030773
