1	3	5
2	3	5
3	3	5
4	3	4
5	2	4
6	2	4
7	2	4
8	2	4
9	2	4
10	2	4
11	2	4
12	2	4
13	2	4
14	2	4
15	2	4
16	2	4
17	2	4
18	2	4
19	2	4
20	2	4
21	2	4
22	2	4
23	2	4
24	2	4
25	2	3
26	2	3
27	2	3
28	2	3
29	2	3
30	2	3
31	2	3
32	2	3
33	2	3
34	2	3
35	2	3
36	2	3
37	2	3
38	2	3
39	2	3
40	2	3
41	2	3
42	2	3
43	2	3
44	2	3
45	2	3
46	2	3
47	2	3
48	2	3
49	2	3
50	2	3
51	2	3
52	2	3
53	2	3
54	1	3
55	1	3
56	1	3
57	1	3
58	1	3
59	1	3
60	1	3
61	1	3
62	1	3
63	1	3
64	1	3
65	1	3
66	1	3
67	1	3
68	1	3
69	1	3
70	1	3
71	1	3
72	1	3
73	1	3
74	1	3
75	1	3
76	1	3
77	1	3
78	1	3
79	1	3
80	1	3
81	1	3
82	1	3
83	1	3
84	1	3
85	1	3
86	1	3
87	1	3
88	1	3
89	1	3
90	1	3
91	1	3
92	1	3
93	1	3
94	1	3
95	1	3
96	1	3
97	1	3
98	1	3
99	1	3
100	1	3
101	1	3
102	1	3
103	1	3
104	1	3
105	1	3
106	1	3
107	1	3
108	1	3
109	1	3
110	1	3
111	1	3
112	1	3
113	1	3
114	1	3
115	1	3
116	1	3
117	1	3
118	1	3
119	1	2
120	1	3
121	1	2
122	1	2
123	1	2
124	1	2
125	1	2
126	1	2
127	1	2
128	1	2
129	1	2
130	1	2
131	1	2
132	1	2
133	1	2
134	1	2
135	1	2
136	1	2
137	1	2
138	1	2
139	1	2
140	1	2
141	1	2
142	1	2
143	1	2
144	1	2
145	1	2
146	1	2
147	1	2
148	1	2
149	1	2
150	1	2
151	1	2
152	1	2
153	1	2
154	1	2
155	1	2
156	1	2
157	1	2
158	1	2
159	1	2
160	1	2
161	1	2
162	1	2
163	1	2
164	1	2
165	1	2
166	1	2
167	1	2
168	1	2
169	1	2
170	1	2
171	1	2
172	1	2
173	1	2
174	1	2
175	1	2
176	1	2
177	1	2
178	1	2
179	1	2
180	1	2
181	1	2
182	1	2
183	1	2
184	1	2
185	1	2
186	1	2
187	1	2
188	1	2
189	1	2
190	1	2
191	1	2
192	1	2
193	1	2
194	1	2
195	1	2
196	1	2
197	1	2
198	1	2
199	1	2
200	1	2
201	1	2
202	1	2
203	1	2
204	1	2
205	1	2
206	1	2
207	1	2
208	1	2
209	1	2
210	1	2
211	1	2
212	1	2
213	1	2
214	1	2
215	1	2
216	1	2
217	1	2
218	1	2
219	1	2
220	1	2
221	1	2
222	1	2
223	1	2
224	1	2
225	1	2
226	1	2
227	1	2
228	1	2
229	1	2
230	1	2
231	1	2
232	1	2
233	1	2
234	1	2
235	1	2
236	1	2
237	1	2
238	1	2
239	1	2
240	1	2
241	1	2
242	1	2
243	1	2
244	1	2
245	1	2
246	1	2
247	1	2
248	1	2
249	1	2
250	1	2
251	1	2
252	1	2
253	1	2
254	1	2
255	1	2
256	1	2
257	1	2
258	1	2
259	1	2
260	1	2
261	1	2
262	1	2
263	1	2
264	1	2
265	1	2
266	1	2
267	1	2
268	1	2
269	1	2
270	1	2
271	1	2
272	1	2
273	1	2
274	1	2
275	1	2
276	1	2
277	1	2
278	1	2
279	1	2
280	1	2
281	1	2
282	1	2
283	1	2
284	1	2
285	1	2
286	1	2
287	1	2
288	1	2
289	1	2
290	1	2
291	1	2
292	1	2
293	1	2
294	1	2
295	1	2
296	1	2
297	1	2
298	1	1
299	1	1
300	1	1
301	1	1
302	1	1
303	1	1
304	1	1
305	1	1
306	1	1
307	1	1
308	1	1
309	1	1
310	1	1
311	1	1
312	1	1
313	1	1
314	1	1
315	1	1
316	1	1
317	1	1
318	1	1
319	1	1
320	1	1
321	1	1
322	1	1
323	1	1
324	1	1
325	1	1
326	1	1
327	1	1
328	1	1
329	1	1
330	1	1
331	1	1
332	1	1
333	1	1
334	1	1
335	1	1
336	1	1
337	1	1
338	1	1
339	1	1
340	1	1
341	1	1
342	1	1
343	1	1
344	1	1
345	1	1
346	1	1
347	1	1
348	1	1
349	1	1
350	1	1
351	1	1
352	1	1
353	1	1
354	1	1
355	1	1
356	1	1
357	1	1
358	1	1
359	1	1
360	1	1
361	1	1
362	1	1
363	1	1
364	1	1
365	1	1
366	1	1
367	1	1
368	1	1
369	1	1
370	1	1
371	1	1
372	1	1
373	1	1
374	1	1
375	1	1
376	1	1
377	1	1
378	1	1
379	1	1
380	1	1
381	1	1
382	1	1
383	1	1
384	1	1
385	1	1
386	1	1
387	1	1
388	1	1
389	1	1
390	1	1
391	1	1
392	1	1
393	1	1
394	1	1
395	1	1
396	1	1
397	1	1
398	1	1
399	1	1
400	1	1
401	1	1
402	1	1
403	1	1
404	1	1
405	1	1
406	1	1
407	1	1
408	1	1
409	1	1
410	1	1
411	1	1
412	1	1
413	1	1
414	1	1
415	1	1
416	1	1
417	1	1
418	1	1
419	1	1
420	1	1
421	1	1
422	1	1
423	1	1
424	1	1
425	1	1
426	1	1
427	1	1
428	1	1
429	1	1
430	1	1
431	1	1
432	1	1
433	1	1
434	1	1
435	1	1
436	1	1
437	1	1
438	1	1
439	1	1
440	1	1
441	1	1
442	1	1
443	1	1
444	1	1
445	1	1
446	1	1
447	1	1
448	1	1
449	1	1
450	1	1
451	1	1
452	1	1
453	1	1
454	1	1
455	1	1
456	1	1
457	1	1
458	1	1
459	1	1
460	1	1
461	1	1
462	1	1
463	1	1
464	1	1
465	1	1
466	1	1
467	1	1
468	1	1
469	1	1
470	1	1
471	1	1
472	1	1
473	1	1
474	1	1
475	1	1
476	1	1
477	1	1
478	1	1
479	1	1
480	1	1
481	1	1
482	1	1
483	1	1
484	1	1
485	1	1
486	1	1
487	1	1
488	1	1
489	1	1
490	1	1
491	1	1
492	1	1
493	1	1
494	1	1
495	1	1
496	1	1
497	1	1
498	1	1
499	1	1
500	1	1
501	1	1
502	1	1
503	1	1
504	1	1
505	1	1
506	1	1
507	1	1
508	1	1
509	1	1
510	1	1
511	1	1
512	1	1
513	1	1
514	1	1
515	1	1
516	1	1
517	1	1
518	1	1
519	1	1
520	1	1
521	1	1
522	1	1
523	1	1
524	1	1
525	1	1
526	1	1
527	1	1
528	1	1
529	1	1
530	1	1
531	1	1
532	1	1
533	1	1
534	1	1
535	1	1
536	1	1
537	1	1
538	1	1
539	1	1
540	1	1
541	1	1
542	1	1
543	1	1
544	1	1
545	1	1
546	1	1
547	1	1
548	1	1
549	1	1
550	1	1
551	1	1
552	1	1
553	1	1
554	1	1
555	1	1
556	1	1
557	1	1
558	1	1
559	1	1
560	1	1
561	1	1
562	1	1
563	1	1
564	1	1
565	1	1
566	1	1
567	1	1
568	1	1
569	1	1
570	1	0
571	1	1
572	1	0
573	1	1
574	1	0
575	1	1
576	1	0
577	1	1
578	1	0
579	1	1
580	1	0
581	1	1
582	1	0
583	1	1
584	1	1
585	1	0
586	1	1
587	1	0
588	1	1
589	1	0
590	1	1
591	1	0
592	1	1
593	1	0
594	1	1
595	1	0
596	1	1
597	1	1
598	1	0
599	1	1
600	1	0
601	1	1
602	1	0
603	1	1
604	1	0
605	1	1
606	1	1
607	0	0
608	0	0
609	0	0
610	0	0
611	0	0
612	0	0
613	0	0
614	0	0
615	0	0
616	0	0
617	0	0
618	0	0
619	0	0
620	0	0
621	0	0
622	0	0
623	0	0
624	0	0
625	0	0
626	0	0
627	0	0
628	0	0
629	0	0
630	0	0
631	0	0
632	0	0
633	0	0
634	0	0
635	0	0
636	0	0
637	0	0
638	0	0
639	0	0
640	0	0
641	0	0
642	0	0
643	0	0
644	0	0
645	0	0
646	0	0
647	0	0
648	0	0
649	0	0
650	0	0
651	0	0
652	0	0
653	0	0
654	0	0
655	0	0
656	0	0
657	0	0
658	0	0
659	0	0
660	0	0
661	0	0
662	0	0
663	0	0
664	0	0
665	0	0
666	0	0
667	0	0
668	0	0
669	0	0
670	0	0
671	0	0
672	0	0
673	0	0
674	0	0
675	0	0
676	0	0
677	0	0
678	0	0
679	0	0
680	0	0
681	0	0
682	0	0
683	0	0
684	0	0
685	0	0
686	0	0
687	0	0
688	0	0
689	0	0
690	0	0
691	0	0
692	0	0
693	0	0
694	0	0
695	0	0
696	0	0
697	0	0
698	0	0
699	0	0
700	0	0
701	0	0
702	0	0
703	0	0
704	0	0
705	0	0
706	0	0
707	0	0
708	0	0
709	0	0
710	0	0
711	0	0
712	0	0
713	0	0
714	0	0
715	0	0
716	0	0
717	0	0
718	0	0
719	0	0
720	0	0
721	0	0
722	0	0
723	0	0
724	0	0
725	0	0
726	0	0
727	0	0
728	0	0
729	0	0
730	0	0
731	0	0
732	0	0
733	0	0
734	0	0
735	0	0
736	0	0
737	0	0
738	0	0
739	0	0
740	0	0
741	0	0
742	0	0
743	0	0
744	0	0
745	0	0
746	0	0
747	0	0
748	0	0
749	0	0
750	0	0
751	0	0
752	0	0
753	0	0
754	0	0
755	0	0
756	0	0
757	0	0
758	0	0
759	0	0
760	0	0
761	0	0
